labels_per_client,round,optimizer,learning_rate,fl_test_loss,fl_test_accuracy,sfl_test_loss,sfl_test_accuracy,fl_minus_sfl_accuracy,global_l2_distance_fl_vs_sfl,fl_time_sec,sfl_time_sec,evaluation_time_sec,total_round_time_sec,weights_dir
2,1,SGD,0.005,2.3116637683868406,0.0892,2.3116637683868406,0.0892,0.0,0.0,3.391345968004316,3.436810287181288,0.6830090859439224,7.515287852147594,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,2,SGD,0.005,2.3103263153076172,0.0892,2.3103263153076172,0.0892,0.0,0.0,3.2496514811646193,3.317902388982475,0.6560838560108095,7.2292617270722985,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,3,SGD,0.005,2.309050680541992,0.0892,2.309050680541992,0.0892,0.0,0.0,3.20868901303038,3.255354054039344,0.6592962821014225,7.130367817124352,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,4,SGD,0.005,2.3078468334198,0.0892,2.3078468334198,0.0892,0.0,0.0,3.1860333459917456,3.384089711122215,0.6905557389836758,7.263374096946791,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,5,SGD,0.005,2.3066964363098146,0.0903,2.3066964363098146,0.0903,0.0,0.0,3.1847781718242913,3.514939200831577,0.6866375170648098,7.389027051161975,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,6,SGD,0.005,2.3055949253082275,0.1089,2.3055949253082275,0.1089,0.0,0.0,3.2270007950719446,3.450774310855195,0.6811733131762594,7.362017242005095,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,7,SGD,0.005,2.304518962097168,0.1067,2.304518962097168,0.1067,0.0,0.0,3.0152515009976923,3.22894729510881,0.6644164551980793,6.914740006905049,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,8,SGD,0.005,2.303459392929077,0.1028,2.303459392929077,0.1028,0.0,0.0,3.15081473486498,3.3464921060949564,0.6840315849985927,7.184335694881156,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,9,SGD,0.005,2.3023995887756348,0.1028,2.3023995887756348,0.1028,0.0,0.0,3.164921049028635,3.395660118898377,0.6754341570194811,7.242483932059258,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,10,SGD,0.005,2.3013151863098145,0.1028,2.3013151863098145,0.1028,0.0,0.0,3.2465268762316555,3.27868770994246,0.6957243559882045,7.227110035950318,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,11,SGD,0.005,2.3001812843322753,0.1028,2.3001812843322753,0.1028,0.0,0.0,3.2686103070154786,3.5693494819570333,0.6927984259091318,7.53371365997009,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,12,SGD,0.005,2.298985522842407,0.1028,2.298985522842407,0.1028,0.0,0.0,3.2269698488526046,3.5054431250318885,0.7105551920831203,7.446710836142302,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
2,13,SGD,0.005,2.297712022399902,0.1028,2.297712022399902,0.1028,0.0,0.0,3.3359495070762932,3.3157777979504317,0.6785684230271727,7.333302184008062,results/weights/fl_vs_sfl_noniid_label_skew/labels_2_per_client
