scenario,attack_enabled,malicious_client_id,attack_scale,labels_per_client,round,optimizer,learning_rate,fl_test_loss,fl_test_accuracy,sfl_test_loss,sfl_test_accuracy,fl_minus_sfl_accuracy,global_l2_distance_fl_vs_sfl,fl_time_sec,sfl_time_sec,evaluation_time_sec,total_round_time_sec,weights_dir
baseline_no_attack,False,,0.0,1,19,SGD,0.005,2.325258715057373,0.1135,2.325258715057373,0.1135,0.0,0.0,3.115075031062588,3.22718113521114,0.6689122328534722,7.0138204749673605,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,20,SGD,0.005,2.323367575073242,0.1135,2.323367575073242,0.1135,0.0,0.0,3.2132111471146345,3.227460830938071,0.6523952959105372,7.095684045925736,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,21,SGD,0.005,2.322826460647583,0.1135,2.322826460647583,0.1135,0.0,0.0,3.015824642032385,3.162309375125915,0.655081010889262,6.836178512079641,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,22,SGD,0.005,2.320228157043457,0.1135,2.320228157043457,0.1135,0.0,0.0,3.262972922064364,3.370748917106539,0.6649682649876922,7.305469861021265,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,23,SGD,0.005,2.31905612411499,0.1135,2.31905612411499,0.1135,0.0,0.0,3.339585651876405,3.2915199620183557,0.6551088350825012,7.288788996869698,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,24,SGD,0.005,2.3180121040344237,0.1135,2.3180121040344237,0.1135,0.0,0.0,3.1191165279597044,3.2151189148426056,0.6758964729961008,7.012841379037127,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,25,SGD,0.005,2.316262725067139,0.1135,2.316262725067139,0.1135,0.0,0.0,3.0768445001449436,3.2455323000904173,0.663993407972157,6.989398138830438,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,26,SGD,0.005,2.3140117847442627,0.1135,2.3140117847442627,0.1135,0.0,0.0,3.1972638750448823,3.1574826119467616,0.6566702867858112,7.0140105180907995,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,27,SGD,0.005,2.313628886795044,0.1135,2.313628886795044,0.1135,0.0,0.0,3.118520305957645,3.4562179939821362,0.6525917528197169,7.229907400906086,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,28,SGD,0.005,2.310121760559082,0.1135,2.310121760559082,0.1135,0.0,0.0,3.236453140154481,3.2466902390588075,0.6605496709235013,7.146667845081538,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,29,SGD,0.005,2.3103258792877197,0.1135,2.3103258792877197,0.1135,0.0,0.0,3.1072850208729506,3.5063095409423113,0.6553592788986862,7.313071887940168,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,30,SGD,0.005,2.3095928310394287,0.1135,2.3095928310394287,0.1135,0.0,0.0,3.280161412898451,3.600792784942314,0.6571667140815407,7.582038644934073,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,31,SGD,0.005,2.3078258922576906,0.1135,2.3078258922576906,0.1135,0.0,0.0,3.215886088088155,3.2613402400165796,0.6663796880748123,7.146249408135191,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,32,SGD,0.005,2.3077657203674318,0.1135,2.3077657203674318,0.1135,0.0,0.0,3.1868505920283496,3.4438119779806584,0.7019346931483597,7.338952808175236,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,33,SGD,0.005,2.3045407844543457,0.1135,2.3045407844543457,0.1135,0.0,0.0,3.3047897869255394,3.3496212591417134,0.6830342588946223,7.381803148891777,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,34,SGD,0.005,2.3044564208984375,0.1135,2.3044564208984375,0.1135,0.0,0.0,3.105796732008457,3.41724562109448,0.6637271270155907,7.22962852101773,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,35,SGD,0.005,2.3023057750701903,0.1135,2.3023057750701903,0.1135,0.0,0.0,3.1003454430028796,3.3787766608875245,0.6492822109721601,7.171152500901371,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,36,SGD,0.005,2.3037863651275634,0.1135,2.3037863651275634,0.1135,0.0,0.0,2.9958424118813127,3.116965430090204,0.6489046812057495,6.764576620189473,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,37,SGD,0.005,2.3025917121887205,0.1135,2.3025917121887205,0.1135,0.0,0.0,3.028429420897737,3.1971918428316712,0.6699303288478404,6.898242471041158,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,38,SGD,0.005,2.29967576751709,0.1135,2.29967576751709,0.1135,0.0,0.0,3.250016807112843,3.3126024617813528,0.6516845040023327,7.220970042049885,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,39,SGD,0.005,2.2990981227874756,0.1135,2.2990981227874756,0.1135,0.0,0.0,2.9224399221129715,3.2965424319263548,0.6594010968692601,6.880951463012025,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,40,SGD,0.005,2.3003306533813475,0.1135,2.3003306533813475,0.1135,0.0,0.0,3.0267747300677,3.473589174915105,0.6762785748578608,7.179579519899562,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,41,SGD,0.005,2.298557844161987,0.1135,2.298557844161987,0.1135,0.0,0.0,3.0608566268347204,3.227880763122812,0.656866705045104,6.948169046081603,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,42,SGD,0.005,2.2984593338012695,0.1135,2.2984593338012695,0.1135,0.0,0.0,2.913166248006746,3.240242670988664,0.6567672370001674,6.812753771897405,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,43,SGD,0.005,2.2985559501647947,0.1135,2.2985559501647947,0.1135,0.0,0.0,3.063653347082436,3.37694035214372,0.6542510678991675,7.097495498834178,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,44,SGD,0.005,2.2986474227905274,0.1135,2.2986474227905274,0.1135,0.0,0.0,3.148988587083295,3.2532883039675653,0.6504184079822153,7.055359606863931,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,45,SGD,0.005,2.2963548664093016,0.1334,2.2963548664093016,0.1334,0.0,0.0,3.0805632409173995,3.385867957957089,0.6684602710884064,7.138017558958381,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,46,SGD,0.005,2.296704470062256,0.1135,2.296704470062256,0.1135,0.0,0.0,2.90955051779747,3.342571266926825,0.6554859979078174,6.913981639081612,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,47,SGD,0.005,2.295018213272095,0.1238,2.295018213272095,0.1238,0.0,0.0,3.1904634970705956,3.3345635591540486,0.6591129349544644,7.189585042186081,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,48,SGD,0.005,2.2961086666107176,0.1135,2.2961086666107176,0.1135,0.0,0.0,3.0752282708417624,3.0964432701002806,0.6723860560450703,6.846761879045516,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,49,SGD,0.005,2.2970213905334473,0.1135,2.2970213905334473,0.1135,0.0,0.0,3.2064842809922993,3.366072995122522,0.6577471971977502,7.2378025411162525,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,1,50,SGD,0.005,2.2952989917755127,0.1144,2.2952989917755127,0.1144,0.0,0.0,2.904197765979916,3.164689427940175,0.6628101321402937,6.734594549052417,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/baseline_no_attack
attack_client_0_scale_minus_5p0,True,0,-5.0,1,1,SGD,0.005,2.320169012451172,0.0892,2.320169012451172,0.0892,0.0,0.0,3.155203213915229,3.2860253830440342,0.6720533519983292,7.115912317996845,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,2,SGD,0.005,2.336365315246582,0.0892,2.336365315246582,0.0892,0.0,0.0,3.157116253860295,3.4363831439986825,0.66271563898772,7.263364942045882,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,3,SGD,0.005,2.36484634475708,0.0892,2.36484634475708,0.0892,0.0,0.0,3.1289637139998376,3.196772249182686,0.693424621829763,7.022150773089379,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,4,SGD,0.005,2.417555043029785,0.0892,2.417555043029785,0.0892,0.0,0.0,3.280406459933147,3.2959460699930787,0.6688232868909836,7.248515001963824,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,5,SGD,0.005,2.5570208305358886,0.0892,2.5570208305358886,0.0892,0.0,0.0,3.086046920856461,3.2989374820608646,0.683392187114805,7.071658127941191,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,6,SGD,0.005,3.2402543071746828,0.0892,3.2402543071746828,0.0892,0.0,0.0,3.200549623928964,3.388474830891937,0.6638556660618633,7.255919039947912,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,7,SGD,0.005,6.2825228813171385,0.0892,6.2825228813171385,0.0892,0.0,0.0,3.0417713769711554,3.291256160940975,0.6834567331243306,7.0222223398741335,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
attack_client_0_scale_minus_5p0,True,0,-5.0,1,8,SGD,0.005,20.338743405151366,0.0892,20.338743405151366,0.0892,0.0,0.0,3.2188391441013664,3.385258903959766,0.6650134220253676,7.272132671903819,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_1_per_client/attack_client_0_scale_minus_5p0
