labels_per_client,round,optimizer,learning_rate,fl_test_loss,fl_test_accuracy,sfl_test_loss,sfl_test_accuracy,fl_minus_sfl_accuracy,global_l2_distance_fl_vs_sfl,fl_time_sec,sfl_time_sec,evaluation_time_sec,total_round_time_sec,weights_dir
4,1,SGD,0.005,2.3115257495880126,0.0892,2.3115257495880126,0.0892,0.0,0.0,3.2677052970975637,3.4224611420650035,0.6689513090532273,7.361694052815437,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,2,SGD,0.005,2.3100655872344973,0.0892,2.3100655872344973,0.0892,0.0,0.0,3.337913053110242,3.3957272900734097,0.6605738780926913,7.396811879007146,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,3,SGD,0.005,2.308753634643555,0.0892,2.308753634643555,0.0892,0.0,0.0,3.2011776040308177,3.2886499939486384,0.6662795590236783,7.16334864590317,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,4,SGD,0.005,2.3075444004058836,0.0898,2.3075444004058836,0.0898,0.0,0.0,3.260293541010469,3.4453921809326857,0.7207523200195283,7.43377058301121,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,5,SGD,0.005,2.306431971359253,0.0946,2.306431971359253,0.0946,0.0,0.0,3.3077785579953343,3.4640707860235125,0.67817402491346,7.456514680059627,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,6,SGD,0.005,2.305411840057373,0.1206,2.305411840057373,0.1206,0.0,0.0,3.322572798933834,3.58433876815252,0.6740709270816296,7.588674831902608,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,7,SGD,0.005,2.304447204208374,0.1198,2.304447204208374,0.1198,0.0,0.0,3.2728586599696428,3.399824519176036,0.6670766619499773,7.347267590928823,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,8,SGD,0.005,2.3035316951751708,0.1107,2.3035316951751708,0.1107,0.0,0.0,3.3848198698833585,3.2041712319478393,0.6632477140519768,7.2548342370428145,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,9,SGD,0.005,2.3026452198028564,0.1075,2.3026452198028564,0.1075,0.0,0.0,3.2742531748954207,3.306127771968022,0.7133718179538846,7.298001433024183,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,10,SGD,0.005,2.3017797115325926,0.1061,2.3017797115325926,0.1061,0.0,0.0,3.2885659150779247,3.2114223919343203,0.6513589760288596,7.155036485986784,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,11,SGD,0.005,2.300922233963013,0.1047,2.300922233963013,0.1047,0.0,0.0,3.122934770071879,3.3229587159585208,0.6602774239145219,7.108819437911734,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,12,SGD,0.005,2.3000699672698977,0.1045,2.3000699672698977,0.1045,0.0,0.0,3.2072952492162585,3.4347028848715127,0.6926832080353051,7.337649778928608,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,13,SGD,0.005,2.2991994998931884,0.1043,2.2991994998931884,0.1043,0.0,0.0,3.08719003200531,3.3230757261626422,0.6917208249215037,7.104993339860812,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,14,SGD,0.005,2.2983083812713625,0.1049,2.2983083812713625,0.1049,0.0,0.0,3.2604943490587175,3.3056355980224907,0.6692450970876962,7.2380987668875605,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,15,SGD,0.005,2.2973859939575196,0.1047,2.2973859939575196,0.1047,0.0,0.0,3.035487080924213,2.9743165499530733,0.6819011080078781,6.694769008085132,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,16,SGD,0.005,2.2964133228302,0.1047,2.2964133228302,0.1047,0.0,0.0,2.8680295050144196,3.066186095122248,0.6563491369597614,6.593233312945813,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,17,SGD,0.005,2.2953806507110595,0.105,2.2953806507110595,0.105,0.0,0.0,3.0778798821847886,3.2589244379196316,0.6696400940418243,7.012926452094689,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,18,SGD,0.005,2.2942706745147703,0.1053,2.2942706745147703,0.1053,0.0,0.0,2.936583789996803,3.06144108902663,0.6578416530974209,6.658692568074912,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,19,SGD,0.005,2.2930614097595217,0.106,2.2930614097595217,0.106,0.0,0.0,2.935418796958402,3.2832063341047615,0.669799153925851,6.891508457949385,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,20,SGD,0.005,2.2917040336608885,0.1068,2.2917040336608885,0.1068,0.0,0.0,2.997802431927994,3.182362316874787,0.6679435928817838,6.850725852884352,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
4,21,SGD,0.005,2.2901422176361086,0.1087,2.2901422176361086,0.1087,0.0,0.0,2.9960590589325875,3.0362065418157727,0.6501961031462997,6.685346931219101,results/weights/fl_vs_sfl_noniid_label_skew/labels_4_per_client
