scenario,attack_enabled,malicious_client_id,attack_scale,labels_per_client,round,optimizer,learning_rate,fl_test_loss,fl_test_accuracy,sfl_test_loss,sfl_test_accuracy,fl_minus_sfl_accuracy,global_l2_distance_fl_vs_sfl,fl_time_sec,sfl_time_sec,evaluation_time_sec,total_round_time_sec,weights_dir
baseline_no_attack,False,,0.0,4,1,SGD,0.005,2.3115257495880126,0.0892,2.3115257495880126,0.0892,0.0,0.0,2.542469617910683,2.7018539698328823,0.5735132161062211,5.820367360953242,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,4,2,SGD,0.005,2.3100655872344973,0.0892,2.3100655872344973,0.0892,0.0,0.0,2.51483606104739,2.7500438019633293,0.5771403119433671,5.844648388912901,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,4,3,SGD,0.005,2.308753634643555,0.0892,2.308753634643555,0.0892,0.0,0.0,2.557624879060313,2.6927409139461815,0.5725382529199123,5.8254744950681925,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,4,4,SGD,0.005,2.3075444004058836,0.0898,2.3075444004058836,0.0898,0.0,0.0,2.5994937971699983,2.7121678839903325,0.575893617933616,5.8905282348860055,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,4,5,SGD,0.005,2.306431971359253,0.0946,2.306431971359253,0.0946,0.0,0.0,2.523268738994375,2.744627091102302,0.5745995440520346,5.845771227031946,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,4,6,SGD,0.005,2.305411840057373,0.1206,2.305411840057373,0.1206,0.0,0.0,2.523970724083483,2.749223323073238,0.5711791850626469,5.847221343079582,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,4,7,SGD,0.005,2.304447204208374,0.1198,2.304447204208374,0.1198,0.0,0.0,2.500564181013033,2.7128837020136416,0.5727330609224737,5.788778404938057,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,4,8,SGD,0.005,2.3035316951751708,0.1107,2.3035316951751708,0.1107,0.0,0.0,2.5735604451037943,2.698478773003444,0.5745990991126746,5.849174714880064,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,4,9,SGD,0.005,2.3026452198028564,0.1075,2.3026452198028564,0.1075,0.0,0.0,2.4947786449920386,2.685987232020125,0.5742138619534671,5.757691913051531,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,4,10,SGD,0.005,2.3017797115325926,0.1061,2.3017797115325926,0.1061,0.0,0.0,2.5115318931639194,2.777933889068663,0.5734021449461579,5.865416001994163,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_4_per_client/baseline_no_attack
