scenario,attack_enabled,malicious_client_id,attack_scale,labels_per_client,round,optimizer,learning_rate,fl_test_loss,fl_test_accuracy,sfl_test_loss,sfl_test_accuracy,fl_minus_sfl_accuracy,global_l2_distance_fl_vs_sfl,fl_time_sec,sfl_time_sec,evaluation_time_sec,total_round_time_sec,weights_dir
baseline_no_attack,False,,0.0,6,1,SGD,0.005,2.311481544494629,0.0892,2.311481544494629,0.0892,0.0,0.0,2.6280441239941865,2.7183376781176776,0.5761761399917305,5.925223737955093,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_6_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,6,2,SGD,0.005,2.3099991401672364,0.0892,2.3099991401672364,0.0892,0.0,0.0,2.5869487959425896,2.9576976739335805,0.5895587890408933,6.137165794149041,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_6_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,6,3,SGD,0.005,2.3086682678222656,0.0892,2.3086682678222656,0.0892,0.0,0.0,2.833917428040877,2.7632903498597443,0.5757177530322224,6.175473670940846,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_6_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,6,4,SGD,0.005,2.3074643310546876,0.0901,2.3074643310546876,0.0901,0.0,0.0,2.6440969288814813,2.820097016869113,0.5740016279742122,6.040760667994618,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_6_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,6,5,SGD,0.005,2.306376759338379,0.1068,2.306376759338379,0.1068,0.0,0.0,2.542088909074664,2.7041717970278114,0.5789497289806604,5.827903826022521,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_6_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,6,6,SGD,0.005,2.3053823123931885,0.1213,2.3053823123931885,0.1213,0.0,0.0,2.542120269034058,2.6806481080129743,0.5836128380615264,5.809176607988775,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_6_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,6,7,SGD,0.005,2.304469403076172,0.1098,2.304469403076172,0.1098,0.0,0.0,2.5813259189017117,2.7271354449912906,0.5770346911158413,5.888241867069155,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_6_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,6,8,SGD,0.005,2.3036227157592775,0.1067,2.3036227157592775,0.1067,0.0,0.0,2.632574691902846,2.7098325369879603,0.5781287720892578,5.923411030089483,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_6_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,6,9,SGD,0.005,2.3028207466125488,0.1051,2.3028207466125488,0.1051,0.0,0.0,2.518915076041594,2.7106306040659547,0.5776742398738861,5.810012564994395,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_6_per_client/baseline_no_attack
baseline_no_attack,False,,0.0,6,10,SGD,0.005,2.302054097747803,0.1041,2.302054097747803,0.1041,0.0,0.0,2.511520033935085,2.7429479418788105,0.5775505611672997,5.834687487920746,results/weights/fl_vs_sfl_noniid_poisoning_attack/labels_6_per_client/baseline_no_attack
