round,fl_test_loss,fl_test_acc,sl_test_loss,sl_test_acc,global_l2_distance_fl_vs_sl,fl_round_time_sec,sl_round_time_sec,evaluation_time_sec,total_round_time_sec
1,2.304908208465576,0.1064,2.304908208465576,0.1064,0.0,3.036171737127006,3.164143019123003,0.6685955810826272,6.869988345075399
2,2.300286260986328,0.1028,2.300286260986328,0.1028,0.0,3.064637149916962,3.1914332951419055,0.6711166831664741,6.928242768160999
3,2.296160916519165,0.1028,2.296160916519165,0.1028,0.0,3.000481482828036,3.064169781981036,0.6485445720609277,6.714291919954121
4,2.289795083618164,0.2073,2.289795083618164,0.2073,0.0,3.032940494827926,3.0102217281237245,0.6523986090905964,6.696423615096137
5,2.2786790493011475,0.209,2.2786790493011475,0.209,0.0,2.864953299984336,2.958169017918408,0.6481201259884983,6.472083321074024
